Contract_No,flag_normalised,upcoming_pdi_type,pdi_contracts_status,run_date
363282,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
366254,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
369270,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
392893,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
395625,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
396012,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
405069,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
405771,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
406204,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
437337,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
440011,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
441044,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
443425,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
443854,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
234400,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
244623,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
338187,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
344381,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
357907,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
359425,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
360679,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
379077,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
396347,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
403632,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
404063,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
404218,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
409027,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
409103,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
411057,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
411613,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
432388,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
432672,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
441315,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
443809,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
182057,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
329586,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
330099,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
340730,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
342975,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
354224,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
377307,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
383062,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
387010,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
390085,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
390099,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
394634,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
411222,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
418257,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
420714,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
426082,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
428275,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
428453,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
431513,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
435348,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
439255,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
444270,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
184013,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
277949,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
330001,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
330107,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
379643,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
384058,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
385875,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
396562,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
399380,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
404622,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
407061,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
409784,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
410568,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
434355,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
437556,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
210946,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
241272,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
297709,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
316198,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
332764,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
346508,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
366571,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
371960,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
373636,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
374403,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
390653,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
396842,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
405667,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
419796,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
424380,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
441988,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
295336,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
333554,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
333578,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
344585,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
354166,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
368082,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
370702,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
371350,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
409357,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
413967,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
421078,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
428074,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
429021,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
431032,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
431287,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
431607,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
435948,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
443569,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
